stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_code,stop_desc,stop_url,stop_timezone,wheelchair_boarding,platform_code
S0904000663,東汗,36.4716870877541,139.9435797336,0,1,,,,,,,
S090400066300000,東汗,36.4716870877541,139.9435797336,Z006630,0,S0904000663,,,,,,
S0904000664,成願寺街道入口,36.5058844974183,139.92517690948,0,1,,,,,,,
S090400066400000,成願寺街道入口,36.5058844974183,139.92517690948,Z006440,0,S0904000664,,,,,,
S0904000665,瑞穂野中学校西,36.5054071755309,139.928475268644,0,1,,,,,,,
S090400066500000,瑞穂野中学校西,36.5054071755309,139.928475268644,Z006430,0,S0904000665,,,,,,
S0904000666,瑞穂野市民センター,36.5063186042992,139.932363792627,0,1,,,,,,,
S090400066600000,瑞穂野市民センター,36.5063186042992,139.932363792627,Z006420,0,S0904000666,,,,,,
S0904000667,刑部橋,36.5012236874059,139.933752800764,0,1,,,,,,,
S090400066700000,刑部橋,36.5012236874059,139.933752800764,Z006410,0,S0904000667,,,,,,
S0904000668,万所成願寺,36.496493277864,139.933023912451,0,1,,,,,,,
S090400066800000,万所成願寺,36.496493277864,139.933023912451,Z006400,0,S0904000668,,,,,,
S0904000669,中坪天神前,36.4906345440775,139.933857446336,0,1,,,,,,,
S090400066900000,中坪天神前,36.4906345440775,139.933857446336,Z006390,0,S0904000669,,,,,,
S0904000670,田中内,36.487318924073,139.933718721641,0,1,,,,,,,
S090400067000000,田中内,36.487318924073,139.933718721641,Z006380,0,S0904000670,,,,,,
S0904000671,平塚町,36.4858259433053,139.928858082949,0,1,,,,,,,
S090400067100000,平塚町,36.4858259433053,139.928858082949,Z006370,0,S0904000671,,,,,,
S0904000672,高島橋,36.4850013217236,139.925594503068,0,1,,,,,,,
S090400067200000,高島橋,36.4850013217236,139.925594503068,Z006360,0,S0904000672,,,,,,
S0904000673,本郷台東,36.4839423380805,139.921636547202,0,1,,,,,,,
S090400067300000,本郷台東,36.4839423380805,139.921636547202,Z006350,0,S0904000673,,,,,,
S0904000674,ゆうがお公園,36.4821890067002,139.918963238842,0,1,,,,,,,
S090400067400000,ゆうがお公園,36.4821890067002,139.918963238842,Z006340,0,S0904000674,,,,,,
